  ntgrid  nperiod  ntheta, drhodpsi, rmaj, shat
 54,  2,  36,  1.8196496347311206,  2.8241356938383615,  5.8798848117303759
     gbdrift     gradpar       grho    tgrid
  -1.6287318687      0.10742677948      0.78143644222      -9.4247779608    
   1.8979403315      0.10742677948      0.77835868451      -9.2908148707    
   5.4177554721      0.10742677948      0.75682404679      -9.1485687129    
   8.8453487892      0.10742677948      0.70458125800      -8.9853023391    
   12.363743704      0.10742677948      0.62112822065      -8.7811271269    
   15.359964578      0.10742677948      0.49353040361      -8.5000200273    
   16.412177314      0.10742677948      0.34097335760      -8.0798006164    
   12.999744793      0.10742677948      0.20837548405      -7.4364218815    
   26.267833875      0.10742677948      0.44504771688      -6.8235402392    
   37.099547349      0.10742677948      0.82927480136      -6.4989306400    
   42.459390104      0.10742677948       1.0991099011      -6.3365674805    
   44.560991748      0.10742677948       1.2581980857      -6.2290948395    
   43.662709252      0.10742677948       1.3570885971      -6.1457723726    
   41.417842017      0.10742677948       1.4235151500      -6.0756731836    
   39.556472764      0.10742677948       1.4559583600      -6.0134324064    
   36.022443629      0.10742677948       1.4457196534      -5.9552067354    
   27.528518940      0.10742677948       1.4102304025      -5.8980753154    
   13.149427653      0.10742677948       1.3811036584      -5.8406081865    
  -3.4772953349      0.10742677948       1.3938454836      -5.7831955086    
  -17.240045367      0.10742677948       1.4371683500      -5.7269165885    
  -23.577514675      0.10742677948       1.4865058285      -5.6718523707    
  -23.440615255      0.10742677948       1.4865250229      -5.6159871518    
  -24.784480527      0.10742677948       1.4216151574      -5.5554982417    
  -31.437827261      0.10742677948       1.3204003322      -5.4864601010    
  -39.150963148      0.10742677948       1.2296376642      -5.4062621339    
  -43.202195781      0.10742677948       1.1237501502      -5.3117959923    
  -43.872625284      0.10742677948      0.96903156980      -5.1954093631    
  -41.638286787      0.10742677948      0.77966662467      -5.0447967412    
  -36.921639984      0.10742677948      0.62445557650      -4.8506775600    
  -30.369265576      0.10742677948      0.52657625544      -4.6137751940    
  -23.022731192      0.10742677948      0.47918172630      -4.3444749306    
  -16.153816192      0.10742677948      0.48241243120      -4.0631441385    
  -11.267951316      0.10742677948      0.55855215056      -3.8038099153    
  -7.7899968635      0.10742677948      0.65857531851      -3.5921614278    
  -5.3036218514      0.10742677948      0.72570013575      -3.4223927056    
  -3.3361674515      0.10742677948      0.76588545405      -3.2765322682    
  -1.4308051736      0.10742677948      0.78143644222      -3.1415926536    
 -6.61881045146E-02  0.10742677948      0.77835868451      -3.0076295635    
   1.3531052868      0.10742677948      0.75682404679      -2.8653834057    
   2.6722342238      0.10742677948      0.70458125800      -2.7021170320    
   3.9196242436      0.10742677948      0.62112822065      -2.4979418197    
   4.7283010113      0.10742677948      0.49353040361      -2.2168347201    
   4.1598898795      0.10742677948      0.34097335760      -1.7966153092    
   1.9157234537      0.10742677948      0.20837548405      -1.1532365744    
   1.8037706965      0.10742677948      0.44504771688     -0.54035493202    
  0.74175873434      0.10742677948      0.82927480136     -0.21574533284    
  0.53253824412      0.10742677948       1.0991099011     -5.33821733144E-02
  0.48316828388      0.10742677948       1.2581980857      5.40904676772E-02
  0.46267516374      0.10742677948       1.3570885971      0.13741293463    
  0.44592925894      0.10742677948       1.4235151500      0.20751212353    
  0.43628177749      0.10742677948       1.4559583600      0.26975290077    
  0.44064244743      0.10742677948       1.4457196534      0.32797857182    
  0.45059218758      0.10742677948       1.4102304025      0.38510999180    
  0.45120677155      0.10742677948       1.3811036584      0.44257712069    
  0.44038657424      0.10742677948       1.3938454836      0.49998979854    
  0.41886314808      0.10742677948       1.4371683500      0.55626871871    
  0.38967931872      0.10742677948       1.4865058285      0.61133293645    
  0.38217380914      0.10742677948       1.4865250229      0.66719815543    
  0.41298471666      0.10742677948       1.4216151574      0.72768706549    
  0.46043486562      0.10742677948       1.3204003322      0.79672520619    
  0.50875972339      0.10742677948       1.2296376642      0.87692317327    
  0.56437355342      0.10742677948       1.1237501502      0.97138931489    
  0.66049216442      0.10742677948      0.96903156980       1.0877759440    
  0.80951835479      0.10742677948      0.77966662467       1.2383885659    
  0.98500022493      0.10742677948      0.62445557650       1.4325077472    
   1.1110290667      0.10742677948      0.52657625544       1.6694101132    
   1.0611347694      0.10742677948      0.47918172630       1.9387103766    
  0.74164538038      0.10742677948      0.48241243120       2.2200411687    
  0.37728496664      0.10742677948      0.55855215056       2.4793753919    
 -2.05008028043E-02  0.10742677948      0.65857531851       2.6910238794    
 -0.45142658889      0.10742677948      0.72570013575       2.8607926015    
 -0.91135859988      0.10742677948      0.76588545405       3.0066530390    
  -1.2328784784      0.10742677948      0.78143644222       3.1415926536    
  -2.0303165405      0.10742677948      0.77835868451       3.2755557437    
  -2.7115448985      0.10742677948      0.75682404679       3.4178019015    
  -3.5008803416      0.10742677948      0.70458125800       3.5810682752    
  -4.5244952167      0.10742677948      0.62112822065       3.7852434874    
  -5.9033625554      0.10742677948      0.49353040361       4.0663505871    
  -8.0923975546      0.10742677948      0.34097335760       4.4865699980    
  -9.1682978858      0.10742677948      0.20837548405       5.1299487328    
  -22.660292482      0.10742677948      0.44504771688       5.7428303752    
